country,total
Albania,1
Armenia,4
Australia,1
Austria,6
Azerbaijan,1
Bahrain,5
Bangladesh,2
Belarus,1
Belgium,1
Bosnia,1
Canada,1
Cayman Islands,5
China,18
Colombia,5
Côte d’Ivoire,1
Cyprus,6
Czech Republic,1
Egypt,1
Estonia,1
Ethopia,3
Finland,1
France,23
Georgia,2
Germany,26
Ghana,1
Gibraltar,20
Greece,2
Greenland,6
Hong Kong,1
Iceland,2
India,8
Indonesia,1
Iraq,2
Ireland,2
Israel,41
West Bank,41
Italy,6
Japan,4
Jersey,2
Jordan,3
Kazakhstan,3
Kenya,10
Kuwait,4
Lebanon,14
Lithuania,1
Macedonia,1
Malawi,1
Maldives,3
Mexico,2
Monaco,1
Mongolia,1
Morocco,3
Netherlands,8
Oman,1
Pakistan,6
Poland,6
Portugal,4
Qatar,1
Romania,1
Russia,2
Rwanda,2
Saudi Arabia,2
Singapore,1
Somalia,3
South Korea,2
Spain,4
Sri Lanka,3
Switzerland,11
Taiwan,5
Tanzania,7
Thailand,1
Tunisia,4
Turkey,8
UAE,1
Uganda,1
Ukraine,2
USA,45
Venezuela,2
Zambia,2
